,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,split5_test_neg_mean_absolute_error,split6_test_neg_mean_absolute_error,split7_test_neg_mean_absolute_error,split8_test_neg_mean_absolute_error,split9_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,split5_test_neg_mean_squared_error,split6_test_neg_mean_squared_error,split7_test_neg_mean_squared_error,split8_test_neg_mean_squared_error,split9_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_max_error,split1_test_max_error,split2_test_max_error,split3_test_max_error,split4_test_max_error,split5_test_max_error,split6_test_max_error,split7_test_max_error,split8_test_max_error,split9_test_max_error,mean_test_max_error,std_test_max_error,rank_test_max_error
0,0.09431140422821045,0.0019784836241456536,0.0021898508071899413,0.0004234343290495918,4,sqrt,1,2,10,0,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 0}",-0.9008752055351006,-0.9151157205215531,-1.3953217652694196,-0.9178949712604784,-0.9316256950034852,-0.8508326577684762,-0.9293221072557314,-0.8456550753638309,-1.0280632982904967,-0.8905958186114235,-0.9605302314879995,0.15263468112737563,145,-1.2026137928559286,-1.1552289393930513,-3.2070762246944553,-1.59556877809028,-1.8761611778746432,-1.9583780812585394,-1.5664307890296285,-1.2649882283083662,-1.8796826738996188,-2.0545584570338544,-1.7760687142438365,0.5684500165944445,145,-9.258760724842364,-5.263807459509559,-7.267215861394382,-9.452719113817086,-14.172851669937877,-16.765297687195833,-5.572576477714456,-8.326929855385547,-9.689659072469762,-21.787009832245175,-10.755682775451204,4.996509934704481,149
1,0.18770759105682372,0.004289985291110527,0.002716684341430664,0.0004355583559929167,4,sqrt,1,2,20,0,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 20, 'random_state': 0}",-0.8734629619280135,-0.893938283796674,-1.364589163460443,-0.9021063222532761,-0.9209709851532909,-0.7945742849226969,-0.9182030082454832,-0.824629607842449,-1.0297286257660296,-0.8381463420629182,-0.9360349585431275,0.1555072680949646,131,-1.128098367008602,-1.1236305705996765,-3.043669817250956,-1.5139382762202687,-1.8376877875824253,-1.7924018807852038,-1.5323604526405057,-1.216094644087498,-1.853300336526265,-1.8503779576366493,-1.689156009033805,0.5323572848637989,131,-8.943524736698997,-5.54945142453291,-6.822681843622929,-9.3062316538167,-14.401115172007241,-16.572272911658565,-5.555950740055094,-8.149104626269569,-8.799715869896502,-21.575254063982722,-10.567530304254124,4.994461366931716,131
2,0.29772677421569826,0.03477827899734435,0.004384398460388184,0.003236037364472709,4,sqrt,1,2,30,0,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 30, 'random_state': 0}",-0.8522420265508899,-0.8982133018335149,-1.2718912893605314,-0.9117252011637479,-0.9303994871718337,-0.8129438141424222,-0.9249532572383549,-0.8314888098767502,-1.024587252043044,-0.8366059847638675,-0.9295050424144957,0.12859988085482202,113,-1.073668920066883,-1.121538269285183,-2.6994228923963823,-1.5532251127264365,-1.8778251385233167,-1.8499767893940542,-1.5534652997568965,-1.238653883164377,-1.8698596720999052,-1.8828536198185537,-1.6720489597231984,0.4571870737537749,113,-9.205889668410126,-5.297787424653553,-6.559693112930592,-8.993417438834264,-14.635553228001847,-16.726527175122182,-5.392115014902844,-8.242128124802242,-9.029768882692323,-21.724034586727573,-10.580691465707755,5.115367855914696,139
3,0.09683384895324706,0.0031007353763390457,0.0022170305252075194,0.0003908898518398763,4,sqrt,1,4,10,0,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 10, 'random_state': 0}",-0.9008752055351006,-0.9151157205215531,-1.3953217652694196,-0.9178949712604784,-0.9316256950034852,-0.8508326577684762,-0.9293221072557314,-0.8456550753638309,-1.0280632982904967,-0.8905958186114235,-0.9605302314879995,0.15263468112737563,145,-1.2026137928559286,-1.1552289393930513,-3.2070762246944553,-1.59556877809028,-1.8761611778746432,-1.9583780812585394,-1.5664307890296285,-1.2649882283083662,-1.8796826738996188,-2.0545584570338544,-1.7760687142438365,0.5684500165944445,145,-9.258760724842364,-5.263807459509559,-7.267215861394382,-9.452719113817086,-14.172851669937877,-16.765297687195833,-5.572576477714456,-8.326929855385547,-9.689659072469762,-21.787009832245175,-10.755682775451204,4.996509934704481,149
4,0.1963822603225708,0.007384835047399435,0.0028043508529663084,0.0004053046850009921,4,sqrt,1,4,20,0,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 20, 'random_state': 0}",-0.8734629619280135,-0.893938283796674,-1.364589163460443,-0.9021063222532761,-0.9209709851532909,-0.7945742849226969,-0.9182030082454832,-0.824629607842449,-1.0297286257660296,-0.8381463420629182,-0.9360349585431275,0.1555072680949646,131,-1.128098367008602,-1.1236305705996765,-3.043669817250956,-1.5139382762202687,-1.8376877875824253,-1.7924018807852038,-1.5323604526405057,-1.216094644087498,-1.853300336526265,-1.8503779576366493,-1.689156009033805,0.5323572848637989,131,-8.943524736698997,-5.54945142453291,-6.822681843622929,-9.3062316538167,-14.401115172007241,-16.572272911658565,-5.555950740055094,-8.149104626269569,-8.799715869896502,-21.575254063982722,-10.567530304254124,4.994461366931716,131
5,0.2787824869155884,0.010956920864362141,0.003395271301269531,0.00048254434747405344,4,sqrt,1,4,30,0,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 30, 'random_state': 0}",-0.8522420265508899,-0.8982133018335149,-1.2718912893605314,-0.9117252011637479,-0.9303994871718337,-0.8129438141424222,-0.9249532572383549,-0.8314888098767502,-1.024587252043044,-0.8366059847638675,-0.9295050424144957,0.12859988085482202,113,-1.073668920066883,-1.121538269285183,-2.6994228923963823,-1.5532251127264365,-1.8778251385233167,-1.8499767893940542,-1.5534652997568965,-1.238653883164377,-1.8698596720999052,-1.8828536198185537,-1.6720489597231984,0.4571870737537749,113,-9.205889668410126,-5.297787424653553,-6.559693112930592,-8.993417438834264,-14.635553228001847,-16.726527175122182,-5.392115014902844,-8.242128124802242,-9.029768882692323,-21.724034586727573,-10.580691465707755,5.115367855914696,139
6,0.09883508682250977,0.004718283462625667,0.002086162567138672,0.00030930348351929115,4,sqrt,1,6,10,0,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 10, 'random_state': 0}",-0.9008752055351006,-0.9151157205215531,-1.3953217652694196,-0.9178949712604784,-0.9493626554545054,-0.8508326577684762,-0.9293221072557314,-0.8456550753638309,-1.0280632982904967,-0.8905958186114235,-0.9623039275331017,0.15239135191244665,153,-1.2026137928559286,-1.1552289393930513,-3.2070762246944553,-1.59556877809028,-1.9597890242623983,-1.9583780812585394,-1.5664307890296285,-1.2649882283083662,-1.8796826738996188,-2.0545584570338544,-1.784431498882612,0.5704725675289505,153,-9.258760724842364,-5.263807459509559,-7.267215861394382,-9.452719113817086,-14.339542595863804,-16.765297687195833,-5.572576477714456,-8.326929855385547,-9.689659072469762,-21.787009832245175,-10.772351868043797,5.008146809434081,161
7,0.19133496284484863,0.0059944505296465715,0.0027821540832519533,0.0006075669989834444,4,sqrt,1,6,20,0,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 20, 'random_state': 0}",-0.8734629619280135,-0.893938283796674,-1.364589163460443,-0.9021063222532761,-0.9274985260145844,-0.7945742849226969,-0.9182030082454832,-0.824629607842449,-1.0297286257660296,-0.8381463420629182,-0.9366877126292568,0.15545635748037037,143,-1.128098367008602,-1.1236305705996765,-3.043669817250956,-1.5139382762202687,-1.8721916682950086,-1.7924018807852038,-1.5323604526405057,-1.216094644087498,-1.853300336526265,-1.8503779576366493,-1.6926063971050636,0.5334195439819864,143,-8.943524736698997,-5.54945142453291,-6.822681843622929,-9.3062316538167,-14.484460634970208,-16.572272911658565,-5.555950740055094,-8.149104626269569,-8.799715869896502,-21.575254063982722,-10.57586485055042,5.000917106776841,137
8,0.27931814193725585,0.012029741295506135,0.0031087636947631837,0.0002793382207553942,4,sqrt,1,6,30,0,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 30, 'random_state': 0}",-0.8522420265508899,-0.8982133018335149,-1.2718912893605314,-0.9117252011637479,-0.9346991118425563,-0.8129438141424222,-0.9247227554617182,-0.8314888098767502,-1.024587252043044,-0.8366059847638675,-0.9299119547039043,0.12861025139103027,125,-1.073668920066883,-1.121538269285183,-2.6994228923963823,-1.5532251127264365,-1.9019523873135438,-1.8499767893940542,-1.552938591751986,-1.238653883164377,-1.8698596720999052,-1.8828536198185537,-1.6744090138017302,0.4583428248730752,125,-9.205889668410126,-5.297787424653553,-6.559693112930592,-8.993417438834264,-14.691116869977154,-16.726527175122182,-5.392115014902844,-8.242128124802242,-9.029768882692323,-21.724034586727573,-10.586247829905286,5.1197975289475135,143
9,0.0980180025100708,0.0034752642963675616,0.002274179458618164,0.0004508500273170768,4,sqrt,2,2,10,0,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 0}",-0.9008752055351006,-0.9181073877989753,-1.3953215871806084,-0.9178949712604784,-0.9316256950034852,-0.8508326577684762,-0.9293221072557314,-0.8456550753638309,-1.0280632982904967,-0.8905958186114235,-0.9608293804068607,0.15254823136475842,149,-1.2026137928559286,-1.1734764245048057,-3.2070756918357426,-1.59556877809028,-1.8761611778746432,-1.9583780812585394,-1.5664307890296285,-1.2649882283083662,-1.8796826738996188,-2.0545584570338544,-1.7778934094691408,0.5664799056544184,149,-9.258760724842364,-5.233540943253672,-7.267215861394382,-9.452719113817086,-14.172851669937877,-16.765297687195833,-5.572576477714456,-8.326929855385547,-9.689659072469762,-21.787009832245175,-10.752656123825616,4.999843793548573,145
