,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_n_neighbors,param_p,param_weights,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,split5_test_neg_mean_absolute_error,split6_test_neg_mean_absolute_error,split7_test_neg_mean_absolute_error,split8_test_neg_mean_absolute_error,split9_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,split5_test_neg_mean_squared_error,split6_test_neg_mean_squared_error,split7_test_neg_mean_squared_error,split8_test_neg_mean_squared_error,split9_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_max_error,split1_test_max_error,split2_test_max_error,split3_test_max_error,split4_test_max_error,split5_test_max_error,split6_test_max_error,split7_test_max_error,split8_test_max_error,split9_test_max_error,mean_test_max_error,std_test_max_error,rank_test_max_error
0,0.12445745468139649,0.0054406454433699476,0.10293195247650147,0.013905182141766462,kd_tree,20,3,2,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 20, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",-1.3697761534947464,-1.1984285061671998,-1.945023602862799,-1.4027166133698796,-1.4704888076747373,-1.8388000609106137,-1.6139637581848638,-1.5022384650525353,-1.63599817268159,-1.6703334856098673,-1.5647767626008833,0.21204045150006462,16,-3.5298719455865184,-2.6715235267245316,-6.842447525506318,-3.6946203035378917,-4.586792802395818,-7.411951677579818,-4.932324755088573,-4.247420943099335,-4.978689406629105,-5.567939454850008,-4.8463582340997915,1.390246953653124,16,-14.9,-10.466666666666665,-10.266666666666667,-11.033333333333333,-19.1,-21.200000000000003,-13.733333333333334,-12.666666666666666,-11.200000000000003,-17.900000000000002,-14.246666666666666,3.717173358585497,16
1,0.121799635887146,0.001433849909751848,0.10544214248657227,0.016129272283123434,kd_tree,20,3,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 20, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",-1.3659920069859457,-1.1974323542313137,-1.935897912306105,-1.3962369235275582,-1.471601146055721,-1.8438458393526933,-1.607416836047598,-1.4909871340928604,-1.632786998374012,-1.6664794069980875,-1.5608676557971894,0.21195146087784186,13,-3.514567666325977,-2.6702524975924167,-6.819670326978994,-3.6692601578093518,-4.5886812824851,-7.419082627985901,-4.890543026747997,-4.210502264817316,-4.976422325738547,-5.539648763576674,-4.829863094005828,1.3919426585737689,13,-14.900000000000002,-10.46425831478092,-10.266132036475618,-11.032726395928776,-19.09631189979549,-20.943338896341768,-13.721054436316848,-12.791305547890936,-11.14549212019702,-17.846143317312848,-14.22067629650402,3.66378367490952,13
2,0.12062625885009766,0.0019654057362404912,0.11320910453796387,0.016707851408815134,kd_tree,20,5,2,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 20, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",-1.3641525810872546,-1.1855824577432617,-1.8948643216080403,-1.3780575605299223,-1.420877112836912,-1.7503243490178164,-1.6085609867519417,-1.4058839652809503,-1.6105344906349932,-1.6253467336683418,-1.5244184559159435,0.19990842836533784,10,-3.5503179113750574,-2.5347195066240293,-6.526185587939699,-3.634861372316126,-4.393562083142988,-7.135349291914116,-4.824371493832801,-3.710124805847419,-4.6548,-5.328712135221562,-4.629300418821379,1.335933076088022,10,-15.98,-9.2,-10.64,-8.940000000000001,-18.64,-23.320000000000004,-11.560000000000002,-10.6,-10.22,-19.42,-13.852,4.829129942339511,4
3,0.12283091545104981,0.0034532300080530954,0.1126793622970581,0.01610022269098611,kd_tree,20,5,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 20, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",-1.3561185461263863,-1.1792852901954076,-1.886825957605572,-1.3680051800978763,-1.4178135157993912,-1.7554965831496687,-1.598954050606886,-1.3966699221295096,-1.602195531478133,-1.6195977139806392,-1.518096229116947,0.2011446464323367,7,-3.5097768337884894,-2.5158534851894583,-6.49802495328216,-3.5795298104206257,-4.385921879492265,-7.132792411166702,-4.776886662282571,-3.6816823512660455,-4.630895336186507,-5.2938928368580065,-4.600525655993282,1.3414176620708134,7,-15.862828378834228,-9.26840111298388,-10.626599799337415,-8.917063870332004,-18.65635153464074,-22.981167492402207,-11.736452564155947,-10.803341933999466,-10.22109931510487,-19.37359853546351,-13.844690453725425,4.72941768286212,1
4,0.12162530422210693,0.0019058892634941165,0.12126715183258056,0.01715542823062315,kd_tree,20,7,2,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 20, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",-1.365329896234419,-1.1845487176140443,-1.8709136592051163,-1.3538562944593098,-1.3851106180251909,-1.7033218038243163,-1.58927755661424,-1.3855211120537754,-1.6170723748613198,-1.6022247601644586,-1.505717679305619,0.1939135429882455,4,-3.5222623758868554,-2.5146482412060305,-6.3755834711591355,-3.5319236124966205,-4.219283266984272,-7.064371020221703,-4.718220881774363,-3.6144705680536258,-4.593518054092354,-5.201846804523545,-4.535612829639851,1.3163515064687243,4,-16.442857142857143,-8.257142857142856,-10.457142857142857,-8.857142857142858,-19.085714285714285,-24.22857142857143,-12.085714285714289,-10.071428571428571,-10.742857142857142,-20.414285714285718,-14.064285714285717,5.284371451048183,10
5,0.12531368732452391,0.006883459363152948,0.13085591793060303,0.02396449908338649,kd_tree,20,7,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 20, 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",-1.3573022364324976,-1.173440374370694,-1.8609743002149366,-1.3412895109902072,-1.3818315138019648,-1.7057631826194661,-1.5797366705352023,-1.3729394512737614,-1.6062533380806032,-1.5928482173167775,-1.497237879563611,0.19522657961904485,1,-3.479474767176092,-2.4810760074276224,-6.34333339986058,-3.468330435006385,-4.213247549932313,-7.0427616116328124,-4.662444802320173,-3.576715671669078,-4.5533845188049895,-5.151952311738084,-4.497272107556813,1.3203889240902793,1,-16.317331475953715,-8.410727769571096,-10.45268169749074,-8.78700430166729,-19.080914415846493,-23.905613499830935,-12.17512514281874,-10.257959702204621,-10.668299236778411,-20.330730031473244,-14.038638727363528,5.184613077789453,7
6,0.13990871906280516,0.011551987433758988,0.12293844223022461,0.017401002277013213,kd_tree,30,3,2,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",-1.3697761534947464,-1.1984285061671998,-1.945023602862799,-1.4027166133698796,-1.4704888076747373,-1.8388000609106137,-1.6139637581848638,-1.5022384650525353,-1.63599817268159,-1.6703334856098673,-1.5647767626008833,0.21204045150006462,16,-3.5298719455865184,-2.6715235267245316,-6.842447525506318,-3.6946203035378917,-4.586792802395818,-7.411951677579818,-4.932324755088573,-4.247420943099335,-4.978689406629105,-5.567939454850008,-4.8463582340997915,1.390246953653124,16,-14.9,-10.466666666666665,-10.266666666666667,-11.033333333333333,-19.1,-21.200000000000003,-13.733333333333334,-12.666666666666666,-11.200000000000003,-17.900000000000002,-14.246666666666666,3.717173358585497,16
7,0.13759238719940187,0.005913747367229958,0.12403512001037598,0.012109728043656986,kd_tree,30,3,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",-1.3659920069859457,-1.1974323542313137,-1.935897912306105,-1.3962369235275582,-1.471601146055721,-1.8438458393526933,-1.607416836047598,-1.4909871340928604,-1.632786998374012,-1.6664794069980875,-1.5608676557971894,0.21195146087784186,13,-3.514567666325977,-2.6702524975924167,-6.819670326978994,-3.6692601578093518,-4.5886812824851,-7.419082627985901,-4.890543026747997,-4.210502264817316,-4.976422325738547,-5.539648763576674,-4.829863094005828,1.3919426585737689,13,-14.900000000000002,-10.46425831478092,-10.266132036475618,-11.032726395928776,-19.09631189979549,-20.943338896341768,-13.721054436316848,-12.791305547890936,-11.14549212019702,-17.846143317312848,-14.22067629650402,3.66378367490952,13
8,0.13566226959228517,0.007137245660215591,0.12816088199615477,0.015195234563768078,kd_tree,30,5,2,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",-1.3641525810872546,-1.1855824577432617,-1.8948643216080403,-1.3780575605299223,-1.420877112836912,-1.7503243490178164,-1.6085609867519417,-1.4058839652809503,-1.6105344906349932,-1.6253467336683418,-1.5244184559159435,0.19990842836533784,10,-3.5503179113750574,-2.5347195066240293,-6.526185587939699,-3.634861372316126,-4.393562083142988,-7.135349291914116,-4.824371493832801,-3.710124805847419,-4.6548,-5.328712135221562,-4.629300418821379,1.335933076088022,10,-15.98,-9.2,-10.64,-8.940000000000001,-18.64,-23.320000000000004,-11.560000000000002,-10.6,-10.22,-19.42,-13.852,4.829129942339511,4
9,0.1266550064086914,0.00206545245576756,0.12370839118957519,0.01914942291597654,kd_tree,30,5,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",-1.3561185461263863,-1.1792852901954076,-1.886825957605572,-1.3680051800978763,-1.4178135157993912,-1.7554965831496687,-1.598954050606886,-1.3966699221295096,-1.602195531478133,-1.6195977139806392,-1.518096229116947,0.2011446464323367,7,-3.5097768337884894,-2.5158534851894583,-6.49802495328216,-3.5795298104206257,-4.385921879492265,-7.132792411166702,-4.776886662282571,-3.6816823512660455,-4.630895336186507,-5.2938928368580065,-4.600525655993282,1.3414176620708134,7,-15.862828378834228,-9.26840111298388,-10.626599799337415,-8.917063870332004,-18.65635153464074,-22.981167492402207,-11.736452564155947,-10.803341933999466,-10.22109931510487,-19.37359853546351,-13.844690453725425,4.72941768286212,1
