,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,split5_test_neg_mean_absolute_error,split6_test_neg_mean_absolute_error,split7_test_neg_mean_absolute_error,split8_test_neg_mean_absolute_error,split9_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,split5_test_neg_mean_squared_error,split6_test_neg_mean_squared_error,split7_test_neg_mean_squared_error,split8_test_neg_mean_squared_error,split9_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_max_error,split1_test_max_error,split2_test_max_error,split3_test_max_error,split4_test_max_error,split5_test_max_error,split6_test_max_error,split7_test_max_error,split8_test_max_error,split9_test_max_error,mean_test_max_error,std_test_max_error,rank_test_max_error
0,0.10723459720611572,0.004722822694307448,0.002925395965576172,0.00027695964818601914,4,sqrt,1,2,10,0,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 0}",-0.9794131978872467,-1.3467680374290767,-1.5496196050930553,-1.1262839272996084,-1.0934865238636342,-1.0959685532513022,-1.3184437512496776,-1.128915691806953,-1.2472202795392255,-1.1220255511803776,-1.2008145118600158,0.15729590601231538,136,-1.51389913253936,-2.527008792543656,-4.140915971276272,-2.5615533675863635,-2.7155719262491598,-3.119415567401148,-3.3173542848524638,-2.251801507188029,-2.9348925903596412,-3.2263901852400916,-2.830880332523619,0.6671800490656171,127,-11.648454412188462,-5.026046181623732,-7.893331410597527,-11.057401634657106,-17.450438064701423,-17.983229309495837,-8.784259672921914,-10.196653256246297,-11.705063584828185,-24.313234183183816,-12.605811171044428,5.418900625851565,145
1,0.20348060131072998,0.004132749145592159,0.0031803131103515627,0.0003702829175615393,4,sqrt,1,2,20,0,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 20, 'random_state': 0}",-0.9511603707540137,-1.2164207191290888,-1.4737247368888706,-1.1172416995471253,-1.072900529881468,-1.0573151792133533,-1.311426086407159,-1.0904941590204056,-1.2073390508028776,-1.1027708921867296,-1.160079342383109,0.14087451023301573,123,-1.436768635223853,-2.079011662644441,-3.820015244235247,-2.4711692438522648,-2.6308727647436347,-3.0344199340389317,-3.223383441360573,-2.123709479773675,-2.7355091144737367,-3.1191434445706894,-2.6674002964917043,0.646308644019502,123,-11.145427774834994,-5.555160876405848,-8.081116978876912,-10.617543397035401,-16.513808185537542,-18.113045095289735,-8.602584850947544,-10.10838881724516,-11.768243047635664,-24.210744317339383,-12.471606334114819,5.285180653190575,123
2,0.3110876798629761,0.011959056874219914,0.003904128074645996,0.000539928332506505,4,sqrt,1,2,30,0,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 30, 'random_state': 0}",-0.9543414751824705,-1.1616853885463294,-1.4745585990586754,-1.1012288766116793,-1.0322433976791432,-1.0781792313054774,-1.2795465637850527,-1.092174237492861,-1.1894825942227756,-1.0901521249999009,-1.1453592488884365,0.13791735286852183,114,-1.4605356426035692,-1.9116231455677937,-3.804118216453462,-2.4554258999638816,-2.5039059153459426,-3.196021924148346,-3.023056094194792,-2.144461507036293,-2.685836081509858,-3.074005260364581,-2.6258989687188516,0.6495654935111945,114,-11.246748302996364,-5.369116522268969,-8.106114441058152,-10.742668413886854,-16.77245946386624,-18.508459041528127,-8.000230582633392,-10.07799236031285,-11.806073596897328,-24.38316505577064,-12.501302778121891,5.44954354016209,135
3,0.10825936794281006,0.0018142706970702548,0.0029107332229614258,0.0003029270179039571,4,sqrt,1,4,10,0,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 10, 'random_state': 0}",-0.9794131978872467,-1.3467680374290767,-1.5496196050930553,-1.1262839272996084,-1.0934865238636342,-1.0959685532513022,-1.3184437512496776,-1.128915691806953,-1.2472202795392255,-1.1220255511803776,-1.2008145118600158,0.15729590601231538,136,-1.51389913253936,-2.527008792543656,-4.140915971276272,-2.5615533675863635,-2.7155719262491598,-3.119415567401148,-3.3173542848524638,-2.251801507188029,-2.9348925903596412,-3.2263901852400916,-2.830880332523619,0.6671800490656171,127,-11.648454412188462,-5.026046181623732,-7.893331410597527,-11.057401634657106,-17.450438064701423,-17.983229309495837,-8.784259672921914,-10.196653256246297,-11.705063584828185,-24.313234183183816,-12.605811171044428,5.418900625851565,145
4,0.21288776397705078,0.004459153732003022,0.0035886287689208983,0.00048444166363589277,4,sqrt,1,4,20,0,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 20, 'random_state': 0}",-0.9511603707540137,-1.2164207191290888,-1.4737247368888706,-1.118292858580929,-1.068245107515138,-1.0519127388349014,-1.302536926066847,-1.0841726649362284,-1.2073390508028776,-1.1027708921867296,-1.1576576065695625,0.14092183978032533,118,-1.436768635223853,-2.079011662644441,-3.820015244235247,-2.4687748063568122,-2.6104912582030786,-3.0255776607572975,-3.164352980389468,-2.1093442010110466,-2.7355091144737367,-3.1191434445706894,-2.6568989007865667,0.6423515316165946,118,-11.145427774834994,-5.555160876405848,-8.081116978876912,-10.586959163130913,-16.490981133726002,-18.08924431713576,-8.281905607048683,-10.169803558085903,-11.768243047635664,-24.210744317339383,-12.437958677422007,5.3035849802015695,109
5,0.30989439487457277,0.004383695624209969,0.0037961483001708986,0.0005847279089448428,4,sqrt,1,4,30,0,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 30, 'random_state': 0}",-0.9543414751824705,-1.1616853885463294,-1.4745585990586754,-1.1014881174339077,-1.0299152621216399,-1.0741067424719177,-1.2752018350504142,-1.0883176485404344,-1.1894825942227756,-1.0901521249999009,-1.1439249787628465,0.13803710405599895,109,-1.4605356426035692,-1.9116231455677937,-3.804118216453462,-2.4541537108908003,-2.4930285252855913,-3.190044792665215,-2.9883579493229027,-2.135902067431714,-2.685836081509858,-3.074005260364581,-2.619760539209549,0.6478705200077352,109,-11.246748302996364,-5.369116522268969,-8.106114441058152,-10.722278924617195,-16.757241429325212,-18.492591856092144,-7.786444420034153,-10.118935520873347,-11.806073596897328,-24.38316505577064,-12.47887100699335,5.46347580546089,127
6,0.10486419200897217,0.0032755245903482964,0.002772355079650879,0.00041351212030380516,4,sqrt,1,6,10,0,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 10, 'random_state': 0}",-0.9794131978872467,-1.3467680374290767,-1.5496196050930553,-1.1262839272996084,-1.0934865238636342,-1.0959685532513022,-1.3184437512496776,-1.128915691806953,-1.2472202795392255,-1.1220255511803776,-1.2008145118600158,0.15729590601231538,136,-1.51389913253936,-2.527008792543656,-4.140915971276272,-2.5615533675863635,-2.7155719262491598,-3.119415567401148,-3.3173542848524638,-2.251801507188029,-2.9348925903596412,-3.2263901852400916,-2.830880332523619,0.6671800490656171,127,-11.648454412188462,-5.026046181623732,-7.893331410597527,-11.057401634657106,-17.450438064701423,-17.983229309495837,-8.784259672921914,-10.196653256246297,-11.705063584828185,-24.313234183183816,-12.605811171044428,5.418900625851565,145
7,0.20268621444702148,0.0022933029263906422,0.0033058881759643554,0.00043479855030931317,4,sqrt,1,6,20,0,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 20, 'random_state': 0}",-0.9511603707540137,-1.2164207191290888,-1.4737247368888706,-1.118292858580929,-1.068245107515138,-1.0519127388349014,-1.302536926066847,-1.0841726649362284,-1.2073390508028776,-1.1027708921867296,-1.1576576065695625,0.14092183978032533,118,-1.436768635223853,-2.079011662644441,-3.820015244235247,-2.4687748063568122,-2.6104912582030786,-3.0255776607572975,-3.164352980389468,-2.1093442010110466,-2.7355091144737367,-3.1191434445706894,-2.6568989007865667,0.6423515316165946,118,-11.145427774834994,-5.555160876405848,-8.081116978876912,-10.586959163130913,-16.490981133726002,-18.08924431713576,-8.281905607048683,-10.169803558085903,-11.768243047635664,-24.210744317339383,-12.437958677422007,5.3035849802015695,109
8,0.3020621776580811,0.004825653648030324,0.003741002082824707,0.0003893694752106624,4,sqrt,1,6,30,0,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 30, 'random_state': 0}",-0.9543414751824705,-1.1616853885463294,-1.4745585990586754,-1.1014881174339077,-1.0299152621216399,-1.0741067424719177,-1.2752018350504142,-1.0883176485404344,-1.1894825942227756,-1.0901521249999009,-1.1439249787628465,0.13803710405599895,109,-1.4605356426035692,-1.9116231455677937,-3.804118216453462,-2.4541537108908003,-2.4930285252855913,-3.190044792665215,-2.9883579493229027,-2.135902067431714,-2.685836081509858,-3.074005260364581,-2.619760539209549,0.6478705200077352,109,-11.246748302996364,-5.369116522268969,-8.106114441058152,-10.722278924617195,-16.757241429325212,-18.492591856092144,-7.786444420034153,-10.118935520873347,-11.806073596897328,-24.38316505577064,-12.47887100699335,5.46347580546089,127
9,0.1050870418548584,0.0011158722207473652,0.0028955221176147463,0.00030120913022279173,4,sqrt,2,2,10,0,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 0}",-0.9794214452020585,-1.3467677145193608,-1.5497369162696861,-1.126312755579405,-1.0934865238636342,-1.0960186750538248,-1.3208285465007161,-1.1289720747101526,-1.2472202795392255,-1.1220255511803776,-1.2010790482418443,0.15749325313428172,142,-1.513932924713792,-2.527006905028138,-4.141729447245303,-2.561768399609452,-2.7155719262491598,-3.1196712613616704,-3.3256812888545992,-2.2521147671909376,-2.9348925903596412,-3.2263901852400916,-2.831875969585279,0.6679196541845638,133,-11.648454412188462,-5.026046181623732,-7.89399154984083,-11.058152885900853,-17.450438064701423,-17.983229309495837,-8.784259672921914,-10.196653256246297,-11.705063584828185,-24.313234183183816,-12.605952310093134,5.418821758045548,148
