,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_random_state,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,split5_test_neg_mean_absolute_error,split6_test_neg_mean_absolute_error,split7_test_neg_mean_absolute_error,split8_test_neg_mean_absolute_error,split9_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,split5_test_neg_mean_squared_error,split6_test_neg_mean_squared_error,split7_test_neg_mean_squared_error,split8_test_neg_mean_squared_error,split9_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_max_error,split1_test_max_error,split2_test_max_error,split3_test_max_error,split4_test_max_error,split5_test_max_error,split6_test_max_error,split7_test_max_error,split8_test_max_error,split9_test_max_error,mean_test_max_error,std_test_max_error,rank_test_max_error
0,0.4382422924041748,0.02848187457426348,0.0027008771896362303,0.0004610314687037029,,0.5,1,2,0,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'random_state': 0}",-0.6050251256281407,-0.6195568752855185,-1.1381407035175881,-0.9178391959798994,-0.9266788487894014,-0.8102329830973046,-0.9599360438556419,-0.8303106441297395,-0.9914116034719049,-0.9091365920511649,-0.8708268615806304,0.1548662025032087,36,-0.724835541343079,-0.7207941982640474,-2.341344952032892,-1.6029202832343534,-1.556749657377798,-1.3412334399269072,-1.9622795797167658,-1.2992656464138874,-2.0395043398812245,-2.069515760621288,-1.5658443398812243,0.5273497824576756,44,-7.600000000000001,-5.1,-7.400000000000002,-7.0,-6.100000000000001,-8.200000000000003,-12.4,-10.0,-10.5,-17.0,-9.13,3.3379784301280315,30
1,0.3906178712844849,0.0200376650057236,0.0025024890899658205,0.0004978464792585856,,0.5,1,5,0,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'random_state': 0}",-0.5871859296482411,-0.6247350388305163,-1.1960902999847725,-0.8867633622658748,-0.9389333028780265,-0.7696878331049186,-0.9690764428201615,-0.8835533729252323,-1.0139447236180905,-0.8046992538449825,-0.8674669559920816,0.17218852108193836,35,-0.705185015989036,-0.758713862874981,-2.537113124968276,-1.5094246167707224,-1.6426415930663418,-1.2037200814679458,-2.2431214468808687,-1.4227873470889802,-2.158773317344297,-1.3176799483528754,-1.5499160354804322,0.5801340297692542,43,-7.300000000000001,-6.399999999999999,-6.899999999999999,-6.466666666666669,-8.200000000000001,-8.2,-13.8,-7.600000000000001,-10.1,-13.700000000000003,-8.866666666666665,2.6434825514839324,24
2,0.32567951679229734,0.015476572127906147,0.0025506019592285156,0.00047131719386460917,,0.5,1,10,0,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'random_state': 0}",-0.5700757031912811,-0.6102172115991211,-1.13562670857897,-0.8898024211968937,-0.9212084049395607,-0.7704160593733459,-0.9507570971741826,-0.8647149165742131,-0.964695972648234,-0.8565869027678075,-0.853410139804361,0.15933463897701225,33,-0.6805089852262411,-0.7593476803438157,-2.343628457118301,-1.513714791732345,-1.6685051869834697,-1.2628532967934396,-1.7851301788485017,-1.4728903768625532,-1.814858127422627,-1.5917720410212033,-1.4893209122352498,0.4695862516386519,32,-12.200000000000003,-8.700000000000001,-8.5,-7.450000000000003,-6.775,-8.200000000000003,-7.455555555555559,-10.5,-10.433333333333332,-13.86666666666667,-9.408055555555558,2.174447726818621,35
3,0.36082274913787843,0.007969244440622936,0.002700400352478027,0.0006391680890634555,,0.5,2,2,0,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'random_state': 0}",-0.6111519719811176,-0.5920108116339272,-1.141940003045531,-0.9655207857469165,-0.93062204964215,-0.731356783919598,-0.9344137353433837,-0.8734977919902542,-0.9969354347495051,-0.8080896908786356,-0.8585539058931019,0.16524211769671185,34,-0.7290048690421806,-0.668955452768895,-2.4125690142632354,-1.9110457908228007,-1.7321071684178468,-1.1315600197959492,-1.8903251192832855,-1.4249303487132634,-2.6410696474798234,-1.538221759047764,-1.6079789189635048,0.6181688006669724,46,-5.749999999999998,-5.4499999999999975,-6.949999999999999,-8.899999999999999,-7.499999999999998,-9.7,-9.9,-9.350000000000001,-15.966666666666669,-16.150000000000002,-9.561666666666666,3.571445785672801,40
4,0.3477576017379761,0.009636905452503359,0.002401137351989746,0.0004900095368834671,,0.5,2,5,0,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'random_state': 0}",-0.590459875133242,-0.5750388305162174,-1.1507827013857166,-0.9231003502360285,-0.9697753921120754,-0.8065813918075224,-0.896082686158063,-0.834345972285671,-0.924158672148622,-0.8509174661184711,-0.8521243337901631,0.16212150409364662,32,-0.672611796355515,-0.6332105146946856,-2.409765065225116,-1.631264339373636,-1.7416311545099232,-1.3517078295517995,-1.5976299743667832,-1.3358654789097002,-1.750685434749505,-1.7767619346733667,-1.490113352241003,0.5035979433294165,33,-4.499999999999998,-5.533333333333331,-7.949999999999999,-8.900000000000002,-6.699999999999999,-11.466666666666669,-8.45,-11.25,-10.875,-18.700000000000003,-9.432500000000001,3.8190939334117235,37
5,0.3032712697982788,0.006596903791286099,0.0026076555252075194,0.0004963790882996849,,0.5,2,10,0,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'random_state': 0}",-0.5732273017323268,-0.600569840544715,-1.105419594364318,-0.8832399189308737,-0.8992645913550436,-0.8160279935028679,-0.9123016779423815,-0.809067324356269,-0.9491920642171898,-0.7977384940575896,-0.8346048801003576,0.14983354296833032,24,-0.6054074982014275,-0.675297224807643,-2.093580261900964,-1.5027790942295653,-1.537566926605933,-1.822623919178309,-1.9541898842032202,-1.23951207407675,-1.7265378987403632,-1.4962958529513102,-1.4653790634895485,0.4745274057264477,31,-4.099999999999998,-6.0,-6.82,-5.550000000000001,-8.900000000000002,-16.200000000000003,-13.450000000000003,-11.25,-11.2,-17.76666666666667,-10.123666666666669,4.420950991208416,67
6,0.286557674407959,0.00669114028536878,0.0028012752532958984,0.00040059181894841657,,0.5,4,2,0,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'random_state': 0}",-0.565427135678392,-0.5646288694555026,-1.0652688768517913,-0.9076179599295177,-0.891188322565207,-0.8039549914072528,-0.8879393178011268,-0.8095909199678044,-0.9064393939393939,-0.8439095368617981,-0.8245965324457787,0.14687986911483994,19,-0.5934290879904573,-0.6024719340702172,-2.152403093259536,-1.620055438372835,-1.4887213221959101,-1.4472016154644591,-1.6694318871788856,-1.2424634486465518,-1.638297856455282,-1.7742600814899585,-1.422873576512409,0.4690711787211729,28,-4.050000000000001,-4.840000000000002,-6.975,-8.8,-6.740000000000002,-10.325000000000003,-9.9,-7.25,-10.274999999999999,-18.500000000000004,-8.7655,3.8472090208357543,15
7,0.2899829626083374,0.0027022932785394586,0.002800393104553223,0.0003998531353244489,,0.5,4,5,0,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'random_state': 0}",-0.565427135678392,-0.5646288694555026,-1.0652688768517913,-0.9076179599295177,-0.891188322565207,-0.8039549914072528,-0.8879393178011268,-0.8095909199678044,-0.9064393939393939,-0.8439095368617981,-0.8245965324457787,0.14687986911483994,19,-0.5934290879904573,-0.6024719340702172,-2.152403093259536,-1.620055438372835,-1.4887213221959101,-1.4472016154644591,-1.6694318871788856,-1.2424634486465518,-1.638297856455282,-1.7742600814899585,-1.422873576512409,0.4690711787211729,28,-4.050000000000001,-4.840000000000002,-6.975,-8.8,-6.740000000000002,-10.325000000000003,-9.9,-7.25,-10.274999999999999,-18.500000000000004,-8.7655,3.8472090208357543,15
8,0.28141117095947266,0.005292853422923114,0.0030011653900146483,1.3308797585442412e-06,,0.5,4,10,0,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'random_state': 0}",-0.5905760222468766,-0.6076769127020384,-1.1234934049758172,-0.8458133035306402,-0.9223223948022943,-0.7782287157287159,-0.9295506573270393,-0.8279714408985765,-0.9033555584560611,-0.8103314661329736,-0.8339319876801033,0.14828056460466857,21,-0.64284805151535,-0.6826439119427274,-2.374952137518544,-1.3407273158467745,-1.6220865519852574,-1.3935641585373386,-1.73704770454275,-1.2554778408742013,-1.6880715203473906,-1.7053577176866432,-1.4442776910796977,0.4880982293823812,30,-7.119999999999997,-5.0285714285714285,-7.833333333333332,-6.444444444444443,-7.524999999999999,-12.325000000000003,-8.512500000000003,-7.988888888888891,-12.685714285714285,-14.157142857142858,-8.962059523809524,2.861050324324546,25
9,0.13437507152557374,0.0031698846949572384,0.0024021387100219725,0.0004900184297245662,,sqrt,1,2,0,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'random_state': 0}",-0.6238465052535404,-0.7118181818181819,-1.3697076290543626,-1.089584285061672,-1.0734947464595705,-0.8738693467336683,-1.1433074463225217,-0.993467336683417,-1.0969620831429876,-0.9351758793969849,-0.9911233439926906,0.20590174072218564,68,-0.7421836455002283,-0.9939682503426224,-3.3856007766103247,-2.6653426222019183,-2.510694472361809,-1.748382823206944,-3.694349017816355,-1.8163225216994061,-2.4563190954773866,-2.0692690726359064,-2.2082432297852903,0.8924584658012279,88,-5.0,-7.9,-10.100000000000001,-24.900000000000002,-15.399999999999999,-14.300000000000004,-13.600000000000001,-8.2,-11.2,-15.3,-12.59,5.270000000000001,148
