,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_random_state,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,split5_test_neg_mean_absolute_error,split6_test_neg_mean_absolute_error,split7_test_neg_mean_absolute_error,split8_test_neg_mean_absolute_error,split9_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,split5_test_neg_mean_squared_error,split6_test_neg_mean_squared_error,split7_test_neg_mean_squared_error,split8_test_neg_mean_squared_error,split9_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_max_error,split1_test_max_error,split2_test_max_error,split3_test_max_error,split4_test_max_error,split5_test_max_error,split6_test_max_error,split7_test_max_error,split8_test_max_error,split9_test_max_error,mean_test_max_error,std_test_max_error,rank_test_max_error
2,0.26083414554595946,0.01334421407823757,0.002713608741760254,0.00048711586963919924,,0.5,1,10,0,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'random_state': 0}",-0.6474671245839587,-0.7109908126491041,-1.331208350555084,-1.0057965512990639,-1.0012344913601194,-0.9250540944259538,-0.996636682691959,-0.9234489184740442,-1.0235300963692924,-0.9750032721326691,-0.9540370394541249,0.17580690181043931,34,-0.8582471434069944,-0.938830411693868,-3.1725765865922866,-2.0749830127872,-1.8800121341162048,-2.135745056100033,-2.10131262816896,-1.9475788632358175,-2.1288247931260553,-2.461915941474311,-1.970002657070173,0.6385169203098561,34,-6.949999999999999,-5.933333333333332,-8.7,-10.0,-10.025000000000002,-17.200000000000003,-13.549999999999999,-19.700000000000003,-9.799999999999997,-16.1,-11.795833333333334,4.371078003955852,77
3,0.29705038070678713,0.020665978419757522,0.0028287887573242186,0.0008564904635677144,,0.5,2,2,0,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'random_state': 0}",-0.6577280341099436,-0.67217679305619,-1.3552641997868127,-1.008086645347952,-1.016419978681285,-0.8319788335617482,-1.0556943809958885,-0.9032701385716461,-1.0123899802040506,-0.9557012334399267,-0.9468710217755444,0.19124446826572472,33,-0.8383607431094868,-0.838734994416527,-3.434563166844322,-1.9154985038830514,-1.953262174508908,-1.3785595921526825,-2.2055520950713157,-1.6470576683924674,-2.2189690358357446,-2.183308964011979,-1.8613866938226482,0.7216411743635478,32,-5.75,-5.0,-8.299999999999999,-9.833333333333336,-10.0,-10.200000000000003,-9.8,-11.666666666666666,-10.100000000000001,-22.950000000000003,-10.360000000000001,4.639553378888485,11
4,0.2692927360534668,0.004582529695466058,0.0022951364517211914,0.00044738368410216536,,0.5,2,5,0,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'random_state': 0}",-0.6092013095781941,-0.689217679305619,-1.3695424090147708,-1.0426823511496877,-1.047431856250952,-0.8847921425308359,-0.9963773412517132,-0.9571303487132635,-0.9516156540277143,-0.8685986751941527,-0.9416589767016903,0.1976453408559247,32,-0.7022994708390435,-0.8507582435536266,-3.4134949913709964,-2.1949221372011567,-2.264350029186336,-1.9282967717374753,-1.8442918633571896,-1.835275652251155,-1.8977657530074614,-1.6855539455484492,-1.861700885805289,0.7131065240429747,33,-6.5,-5.366666666666665,-10.175,-8.450000000000001,-14.075,-12.175,-9.533333333333331,-12.600000000000003,-10.149999999999999,-15.800000000000004,-10.482500000000002,3.0951472994924756,20
5,0.23867413997650147,0.004415612800792989,0.0023133277893066405,0.000600813455050297,,0.5,2,10,0,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'random_state': 0}",-0.6284202759830901,-0.659327100872327,-1.3476813178446345,-1.0290468032804716,-0.9737619373925906,-0.8495779510829762,-0.9410547361627764,-0.9197306608801584,-0.9640408572443748,-0.9121809987890389,-0.922482263953244,0.18920986063737777,21,-0.7845450716758627,-0.8001937519768326,-3.584688988805977,-2.469692450806652,-1.9640673895162093,-1.5956385380543148,-1.6554493674547583,-1.756144270968935,-1.9338733623373803,-2.0103980887467756,-1.8554691280343696,0.7607420803063846,31,-4.699999999999999,-5.140000000000001,-9.7,-17.450000000000003,-8.766666666666666,-17.200000000000003,-7.0,-13.614285714285716,-9.0,-17.100000000000005,-10.967095238095238,4.741134256062954,34
6,0.22608301639556885,0.003941118353928062,0.002496933937072754,0.000509756033215888,,0.5,4,2,0,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'random_state': 0}",-0.6147173094911789,-0.6783696621636319,-1.302335323805173,-0.990957873784507,-0.9597279362178861,-0.8236937936435423,-0.9392555852857358,-0.9045210359155083,-0.973299343035524,-0.8846524288107203,-0.9071530292153408,0.17796107870395636,15,-0.6855862037977974,-0.9017672229680663,-3.0286998835718992,-1.764431243629247,-1.9417539278015004,-1.5404331340530728,-1.752356496614178,-1.6486758778366686,-1.9579643849335833,-1.8841494357027877,-1.7105817810908799,0.6020319338901762,20,-5.25,-5.425000000000001,-8.024999999999999,-9.0,-7.825000000000001,-14.166666666666668,-11.6,-13.614285714285716,-9.925,-18.660000000000004,-10.34909523809524,3.99863848682265,9
7,0.22639908790588378,0.0033795592800002485,0.0019858598709106444,0.00014913237637228128,,0.5,4,5,0,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'random_state': 0}",-0.6147173094911789,-0.6783696621636319,-1.302335323805173,-0.990957873784507,-0.9597279362178861,-0.8236937936435423,-0.9392555852857358,-0.9045210359155083,-0.973299343035524,-0.8846524288107203,-0.9071530292153408,0.17796107870395636,15,-0.6855862037977974,-0.9017672229680663,-3.0286998835718992,-1.764431243629247,-1.9417539278015004,-1.5404331340530728,-1.752356496614178,-1.6486758778366686,-1.9579643849335833,-1.8841494357027877,-1.7105817810908799,0.6020319338901762,20,-5.25,-5.425000000000001,-8.024999999999999,-9.0,-7.825000000000001,-14.166666666666668,-11.6,-13.614285714285716,-9.925,-18.660000000000004,-10.34909523809524,3.99863848682265,9
8,0.21520094871520995,0.003631946356454022,0.002454662322998047,0.0004900143133545112,,0.5,4,10,0,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'random_state': 0}",-0.6398740274242787,-0.6133271697593307,-1.1530712364129447,-0.9556563118623419,-0.9402855547579166,-0.8708659277629126,-1.004518606742225,-0.9195939654984883,-0.9282454842756351,-0.8530990631367514,-0.8878537347632823,0.1524111148674941,5,-0.7369426443420117,-0.7073668129227819,-2.313499560151878,-1.731156319693419,-1.8160851751859233,-1.8489815005700014,-2.1437111940236986,-1.860323629255096,-1.7627344896796675,-1.7360069963550027,-1.665680832217948,0.5041687369677207,11,-5.25,-7.350000000000001,-6.024999999999999,-7.474999999999998,-6.9,-14.166666666666668,-12.544444444444439,-13.614285714285716,-9.583333333333332,-18.660000000000004,-10.156873015873014,4.161643179640529,5
9,0.12497565746307374,0.004758865961527776,0.0026012659072875977,0.0004975335366492593,,sqrt,1,2,0,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'random_state': 0}",-0.8121059844677936,-0.8764138876199178,-1.4457971676564643,-1.1512105984467793,-1.2003197807217907,-1.1089538602101416,-1.2636363636363637,-1.0203974417542256,-1.1566468707172226,-1.0655550479671083,-1.1101037003197807,0.1736963017056566,63,-1.4388168113293742,-1.5924186843307446,-3.915014938328004,-2.651605756052992,-2.8391000456829607,-3.1377661032434903,-3.198780264961169,-2.0421345363179535,-3.1670968478757424,-2.5589812699862944,-2.6541715258108725,0.7352239571270696,73,-12.399999999999999,-17.7,-9.100000000000001,-8.3,-12.899999999999999,-13.700000000000001,-8.299999999999999,-9.0,-20.200000000000003,-20.200000000000003,-13.180000000000001,4.491057781859415,142
10,0.09960429668426514,0.002502999213231312,0.0022110223770141603,0.0003977003718011653,,sqrt,1,5,0,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'random_state': 0}",-0.7906388000609106,-0.7879480737018426,-1.540618623420131,-1.122176031673519,-1.1029751027866606,-1.0761611085731688,-1.2196075072331356,-1.0599093954621592,-1.0629773869346735,-1.0158786356022536,-1.0778890665448455,0.2019321184960694,57,-1.8169956632912034,-1.2880023507689966,-4.437141650487285,-2.356954818917821,-2.640771159141668,-3.0460682833358717,-3.282180718935587,-2.2186702768894984,-2.2102904868407696,-2.460677725749962,-2.575775313435866,0.8213057874557778,67,-33.2,-17.7,-9.649999999999999,-9.7,-19.900000000000002,-18.425000000000004,-16.8,-9.5,-9.500000000000002,-17.8,-16.2175,6.983838933566554,189
11,0.08629279136657715,0.002125616404268982,0.0027024030685424806,0.000485406128415376,,sqrt,1,10,0,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'random_state': 0}",-0.7042982045871494,-0.8806305880049599,-1.4132281084353946,-1.0823964882130712,-1.1645725198865904,-0.9876207697941366,-1.1965250059822925,-1.1065537282371452,-1.0837986469142247,-1.0497202643810684,-1.0669344324436034,0.17920394227543063,51,-0.9581862214360646,-1.700779172856857,-3.9175978916449514,-2.343221815920546,-2.711315442675683,-2.179984620403116,-2.8601825162633756,-2.469613768922201,-2.3742965208969906,-2.993810521250317,-2.45089884922701,0.7458797914372605,56,-9.788888888888888,-17.7,-11.0,-9.849999999999998,-11.833333333333332,-9.142857142857142,-8.037500000000001,-11.0,-10.471428571428572,-24.525000000000002,-12.334900793650794,4.753783039600617,110
